stage,model,ECE_raw,ECE_platt,ECE_isotonic,ECE_temperature,ECE_beta,RHR_platt,RHR_isotonic,RHR_temperature,RHR_beta
Stage 2: Temporal,GBM,0.030009397806548772,0.028020715116158057,0.008870286703002746,0.018372961698826133,0.008665639332790144,0.06626866367697448,0.7044163711586696,0.3877597338918707,0.7112358139056328
Stage 2: Temporal,LogReg,0.23422952563682697,0.010658005389041427,0.009365936847014455,0.23049669558945832,0.006390901196438604,0.9544976007612009,0.9600138504249189,0.015936633254154398,0.9727152194879662
Stage 3: Multi-site,GBM,0.038165476627360855,0.019293926584721,0.0037672636986447443,0.03853612447658311,0.0019783379914635906,0.49446651032024136,0.9012913231655021,-0.009711600167899848,0.9481642005737374
Stage 3: Multi-site,LogReg,0.5902325823454377,4.801415424901534e-06,0.0018847297887958244,0.4129568791650326,0.000999521453480084,0.9999918652145467,0.9968068015132164,0.300348893780068,0.9983065634067366
Stage 4: Continental,GBM,0.11646739494564659,0.023631335774083065,0.01154780238546771,0.01586912510575344,0.012886981844940177,0.7970991298885717,0.9008494833179974,0.8637462002721079,0.8893511626068882
Stage 4: Continental,LogReg,0.15285729076725882,0.030723307862413667,0.005550631367869585,0.10680828901534693,0.012489863831559395,0.7990065916502922,0.9636874934783386,0.3012548601428917,0.9182906895126349
