stage,model,n,mortality,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,mce,mce_lo,mce_hi
Stage 1: Dev-test (internal),LogReg,3288,0.09762773722627738,0.8167254125599663,0.7913344330857172,0.840071995175622,0.36832708668126496,0.31429190912738225,0.4269682747816165,0.160063503940877,0.15334810141602437,0.16743219335537424,0.25307046739701905,0.24202280608326884,0.26426945975043487,0.5294521356187066,0.4874173612138658,0.6247960942420318
Stage 1: Dev-test (internal),GBM,3288,0.09762773722627738,0.8436120272110559,0.8226947215451272,0.8658144056588447,0.4246225294260664,0.3708470958549128,0.486662594209354,0.07310035315319015,0.06638454412615079,0.08051853159381395,0.027644820255344454,0.023503391083781137,0.038936503622085436,0.3447492017433078,0.2534109125552452,0.5902515132132856
Stage 2: Temporal (MIMIC 2014-2019),LogReg,18247,0.1037978845837672,0.8524344854426408,0.8436749895704311,0.8619191427450945,0.4612691192048875,0.4345750918463057,0.4861937402158672,0.1457997090671737,0.1432356362791862,0.14892998972980998,0.23400930419695962,0.22965265779019836,0.23820915806416532,0.4680719860770601,0.4541982730169039,0.513651799415631
Stage 2: Temporal (MIMIC 2014-2019),GBM,18247,0.1037978845837672,0.8617015526829503,0.8532219156463557,0.8699260550785454,0.49657020950066955,0.47116235041966453,0.5203915737121668,0.07153718147196429,0.0690866896477678,0.0741751078399754,0.026835822840742766,0.02349016037044719,0.030750031476907174,0.21897232788423626,0.1805475089942823,0.30317001258433496
Stage 3: Multi-site (eICU-CRD),LogReg,93187,0.09415476407653428,0.5536161213575407,0.5471051349969887,0.5601505501663488,0.12348008444744119,0.11936546866333507,0.12812422037988716,0.5742761405756369,0.5714087307228616,0.5774363313602819,0.5904369405079956,0.5872114526483431,0.5932666680533822,0.8868877120756886,0.8840854831720395,0.8895185237955949
Stage 3: Multi-site (eICU-CRD),GBM,93187,0.09415476407653428,0.7838448381663903,0.7785614386380404,0.7892969686612559,0.36747906740574227,0.3563351507407817,0.37825760161721783,0.0771581172511046,0.0759553697365955,0.07843337325489855,0.03730578876873668,0.03559779177437722,0.038863102760806255,0.3111345446718856,0.2719154337149219,0.3568824817063733
Stage 4: Continental (SICdb),LogReg,14688,0.18518518518518517,0.6619988474166405,0.6511058234864844,0.673021410312533,0.3432084913739132,0.32723974468778955,0.3613378611752678,0.1802543127436871,0.17518542643820934,0.1849122581886096,0.15552220894994073,0.1496703686611091,0.16209427418243438,0.4937769479069026,0.47932106341113095,0.5599557907361762
Stage 4: Continental (SICdb),GBM,14688,0.18518518518518517,0.7196104440272099,0.7092739622583657,0.7309854790107202,0.4269565433960347,0.40720852699676063,0.4454182334101211,0.14759686000829245,0.14222026820014283,0.15265985944198737,0.1168844161217674,0.1120298380271489,0.12351411740290001,0.20667740824953273,0.18461376281700154,0.2599935511278188
