feature,mean_abs_shap,is_missing_indicator
glucose_count_isna,0.0,True
potassium_mean_isna,0.0,True
sbp_std_isna,0.0,True
sbp_last_isna,0.0,True
resp_rate_mean_isna,0.0,True
temperature_count_isna,0.0,True
dbp_min_isna,0.0,True
temperature_last_isna,0.0,True
temperature_mean_isna,0.0,True
temperature_max_isna,0.0,True
dbp_max_isna,0.0,True
resp_rate_count_isna,0.0,True
resp_rate_std_isna,0.0,True
resp_rate_last_isna,0.0,True
resp_rate_max_isna,0.0,True
sodium_count_isna,0.0,True
resp_rate_min_isna,0.0,True
map_count_isna,0.0,True
map_std_isna,0.0,True
map_last_isna,0.0,True
map_mean_isna,0.0,True
map_max_isna,0.0,True
map_min_isna,0.0,True
dbp_count_isna,0.0,True
dbp_std_isna,0.0,True
spo2_min_isna,0.0,True
spo2_max_isna,0.0,True
spo2_mean_isna,0.0,True
spo2_last_isna,0.0,True
dbp_last_isna,0.0,True
sodium_last_isna,0.0,True
sodium_mean_isna,0.0,True
sodium_max_isna,0.0,True
platelets_count_isna,0.0,True
platelets_last_isna,0.0,True
platelets_mean_isna,0.0,True
platelets_max_isna,0.0,True
hemoglobin_count_isna,0.0,True
sbp_count_isna,0.0,True
hemoglobin_last_isna,0.0,True
hemoglobin_mean_isna,0.0,True
hemoglobin_max_isna,0.0,True
wbc_count_isna,0.0,True
wbc_last_isna,0.0,True
wbc_mean_isna,0.0,True
wbc_max_isna,0.0,True
spo2_count_isna,0.0,True
spo2_std_isna,0.0,True
bilirubin_count_isna,0.0,True
