stratifier,group,n,mortality,brier,reliability,resolution,uncertainty,n_bins_used
Sex,0,1458,0.10768175582990398,0.08414812286560036,0.005176665497964604,0.01595049164839532,0.09608639529129291,10
Sex,1,1830,0.08961748633879782,0.06429835957904038,0.002377349098821428,0.01852248808815939,0.0815861924811132,10
Age band,<45,410,0.04878048780487805,0.04903672118745356,0.01381624814299991,0.009829639367990833,0.04640095181439619,10
Age band,45-64,1090,0.06972477064220184,0.05840568601747223,0.005506207766037004,0.010753291127304,0.06486322700109419,10
Age band,65-79,1102,0.11524500907441017,0.07885898985744175,0.0010876336652059873,0.023376093648327517,0.10196359695784929,10
Age band,80+,686,0.14285714285714285,0.10158032201004041,0.004470668668216259,0.02412405337960433,0.12244897959183673,10
